

"3003";"2014-03-21 15:18:04.924654";"Peperomia Soil Moisture: 45.19"
"3001";"2014-03-21 15:18:05.225535";"LIGHT LOW! received from 193.11"
"3001";"2014-03-21 15:18:05.275694";"PG:LIGHT ON"
"3009";"2014-03-21 15:18:05.737831";"runicast message sent to 185.11, retransmissions 1"
"3009";"2014-03-21 15:18:06.497296";"Temperature °C: 26.47"
"3009";"2014-03-21 15:18:06.647741";"Humidity: 31.50"
"3008";"2014-03-21 15:18:06.948647";"LIGHT LOW! received from 193.11"
"3008";"2014-03-21 15:18:06.948742";"PG:LIGHT ON"
"3008";"2014-03-21 15:18:07.149258";"LIGHT LOW! received from 193.11"
"3008";"2014-03-21 15:18:07.249564";"PG:LIGHT ON"
"3009";"2014-03-21 15:18:07.650750";"runicast message sent to 192.11, retransmissions 2"
"3002";"2014-03-21 15:18:08.088866";"CO2 ppm: 194"
"3003";"2014-03-21 15:18:09.725996";"Peperomia Soil Moisture: 45.66"
"3009";"2014-03-21 15:18:11.652715";"Light/lux: 598"
"3009";"2014-03-21 15:18:12.377778";"Temperature °C: 26.48"
"3009";"2014-03-21 15:18:12.538407";"Humidity: 31.30"
"3002";"2014-03-21 15:18:13.088371";"CO2 ppm: 198"
"3003";"2014-03-21 15:18:14.775696";"Peperomia Soil Moisture: 45.50"
"3009";"2014-03-21 15:18:17.540116";"Light/lux: 598"
"3002";"2014-03-21 15:18:18.038852";"CO2 ppm: 201"
"3009";"2014-03-21 15:18:18.315307";"Temperature °C: 26.51"
"3009";"2014-03-21 15:18:18.476191";"Humidity: 31.10"
"3003";"2014-03-21 15:18:19.826408";"Peperomia Soil Moisture: 45.37"
"3002";"2014-03-21 15:18:23.039190";"CO2 ppm: 204"
"3009";"2014-03-21 15:18:23.477660";"Light/lux: 598"
"3007";"2014-03-21 15:18:24.323228";"Kalanchoe Soil Moisture: 43.9"
"3009";"2014-03-21 15:18:24.523806";"Temperature °C: 26.53"
"3008";"2014-03-21 15:18:24.824670";"MOSITURE HIGH! received from 191.11"
"3008";"2014-03-21 15:18:24.924981";"PG:HEAT ON"
"3007";"2014-03-21 15:18:25.376311";"runicast message sent to 192.11, retransmissions 1"
"3009";"2014-03-21 15:18:25.576874";"Humidity: 30.90"
"3003";"2014-03-21 15:18:25.827656";"Peperomia Soil Moisture: 45.21"
"3002";"2014-03-21 15:18:28.038720";"CO2 ppm: 202"
"3007";"2014-03-21 15:18:29.272495";"Kalanchoe Soil Moisture: 42.94"
"3009";"2014-03-21 15:18:29.423017";"Light/lux: 604"
"3003";"2014-03-21 15:18:29.825313";"Peperomia Soil Moisture: 45.62"
"3009";"2014-03-21 15:18:30.189579";"Temperature °C: 26.53"
"3009";"2014-03-21 15:18:30.400531";"Humidity: 30.63"
"3002";"2014-03-21 15:18:33.038263";"CO2 ppm: 204"
"3007";"2014-03-21 15:18:34.222990";"Kalanchoe Soil Moisture: 42.98"
"3003";"2014-03-21 15:18:34.774663";"Peperomia Soil Moisture: 45.48"
"3009";"2014-03-21 15:18:35.402048";"Light/lux: 598"
"3009";"2014-03-21 15:18:36.127136";"Temperature °C: 26.54"
"3009";"2014-03-21 15:18:36.287766";"Humidity: 30.42"
"3002";"2014-03-21 15:18:38.038705";"CO2 ppm: 204"
"3007";"2014-03-21 15:18:39.322688";"Kalanchoe Soil Moisture: 42.98"
"3003";"2014-03-21 15:18:39.825261";"Peperomia Soil Moisture: 45.56"
"3009";"2014-03-21 15:18:41.289532";"Light/lux: 598"
"3009";"2014-03-21 15:18:42.064688";"Temperature °C: 26.55"
"3009";"2014-03-21 15:18:42.225529";"Humidity: 30.22"
"3002";"2014-03-21 15:18:43.038179";"CO2 ppm: 203"
"3007";"2014-03-21 15:18:44.272056";"Kalanchoe Soil Moisture: 43.0"
"3003";"2014-03-21 15:18:44.775629";"Peperomia Soil Moisture: 45.33"
"3009";"2014-03-21 15:18:47.227067";"Light/lux: 598"
"3009";"2014-03-21 15:18:48.001300";"Temperature °C: 26.55"
"3002";"2014-03-21 15:18:48.151726";"CO2 ppm: 205"
"3009";"2014-03-21 15:18:48.352305";"Humidity: 30.8"
"3007";"2014-03-21 15:18:49.271607";"Kalanchoe Soil Moisture: 42.82"
